C_wt,dL,Stress
-1.0260447642909187,0.4898024694272348,0.3481276759871804
-1.0260447642909187,0.49372906970796016,0.3514625573617997
-1.0260447642909187,0.497698416628284,0.3547644839752138
-1.0260447642909187,0.5027217491070937,0.3582152549472649
-1.0260447642909187,0.5073355447321862,0.36183519393653474
-1.0260447642909187,0.5123769557808879,0.36533179124692744
-1.0260447642909187,0.5167722976843476,0.3687791870407736
-1.0260447642909187,0.5210981868643874,0.3721871607044292
-1.0260447642909187,0.5258655192546925,0.37575877534825286
-1.0260447642909187,0.5305484913305288,0.37921416096946664
-1.0260447642909187,0.5346723894226442,0.38264937620054856
-1.0260447642909187,0.5394300663123294,0.3861472724650221
-1.0260447642909187,0.5444155704757248,0.38971079664248354
-1.0260447642909187,0.5493453081784356,0.3933381128643953
-1.0260447642909187,0.5536805728884333,0.3968323358559885
-1.0260447642909187,0.5579407741679179,0.4002573156206063
-1.0260447642909187,0.562367485523073,0.40394235542361606
-1.0260447642909187,0.5663061728492221,0.407259233907728
-1.0260447642909187,0.5715411285405886,0.41062590790373116
-1.0260447642909187,0.5756773538363485,0.41390190745592154
-1.0260447642909187,0.5809931311916567,0.4174984879299439
-1.0260447642909187,0.5850244801778238,0.42092229006103593
-1.0260447642909187,0.5897083900838205,0.4244173834024449
-1.0260447642909187,0.5937699849973149,0.42764466490891306
-1.0260447642909187,0.5986456406328821,0.4311801380224694
-1.0260447642909187,0.6030012085504404,0.4346283139694192
-1.0260447642909187,0.6077023310493165,0.43815675979467883
-1.0260447642909187,0.6120162811556601,0.4416262380828574
-1.0260447642909187,0.6168251805716441,0.445225634899131
-1.0260447642909187,0.6207150260006211,0.44851841012418386
-1.0260447642909187,0.6249399168100911,0.4519007690672123
-1.0260447642909187,0.6291373153363712,0.4553786120674765
-1.0260447642909187,0.6338343635789119,0.45889572798077943
-1.0260447642909187,0.6386000428593832,0.4622117194662337
-1.0260447642909187,0.6430410652867529,0.4657762847783769
-1.0260447642909187,0.6479015099607889,0.46910761492762754
-1.0260447642909187,0.6516768776859947,0.4724629305690541
-1.0260447642909187,0.6567308077606215,0.4759655723470442
-1.0260447642909187,0.6613581633674567,0.47937000602871466
-1.0260447642909187,0.6652267163470675,0.48257036751988297
-1.0260447642909187,0.6693935145456804,0.4858563993586543
